country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","15-04-2026 11:00:00",26.63086,84.90051,NH3,3,3,3
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","15-04-2026 11:00:00",26.63086,84.90051,SO2,3,3,3
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","15-04-2026 11:00:00",21.224231,81.408350,PM2.5,23,86,60
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","15-04-2026 11:00:00",21.224231,81.408350,OZONE,8,23,12
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","15-04-2026 11:00:00",27.308328,84.531742,SO2,16,17,16
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","15-04-2026 11:00:00",30.735567,76.775714,CO,57,107,61
India,Delhi,Delhi,"Alipur, Delhi - DPCC","15-04-2026 11:00:00",28.815329,77.153010,NH3,8,18,11
India,Delhi,Delhi,"Alipur, Delhi - DPCC","15-04-2026 11:00:00",28.815329,77.153010,OZONE,2,40,13
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","15-04-2026 11:00:00",28.647622,77.3158090,PM2.5,23,379,253
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","15-04-2026 11:00:00",28.647622,77.3158090,SO2,21,52,35
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","15-04-2026 11:00:00",28.695381,77.181665,PM10,103,418,213
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","15-04-2026 11:00:00",28.4706914,77.1099364,OZONE,5,91,31
India,Delhi,Delhi,"Bawana, Delhi - DPCC","15-04-2026 11:00:00",28.776200,77.051074,OZONE,4,65,21
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","15-04-2026 11:00:00",28.5710274,77.0719006,PM2.5,38,421,214
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","15-04-2026 11:00:00",28.5710274,77.0719006,NH3,3,47,7
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","15-04-2026 11:00:00",28.5627763,77.1180053,NO2,17,63,41
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC","15-04-2026 11:00:00","28.493624 ","77.201159 ",PM10,61,324,157
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC","15-04-2026 11:00:00","28.493624 ","77.201159 ",NH3,1,4,2
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC","15-04-2026 11:00:00","28.493624 ","77.201159 ",SO2,8,40,16
